Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16534,Hitman (2016),XOne,2016.0,Action,Square Enix,0.0,0.01,0.0,0.0,0.01
9997,Army Men: Soldiers of Misfortune,DS,2008.0,Shooter,Zoo Games,0.11,0.0,0.0,0.01,0.12
9462,Romance of the Three Kingdoms IV: Wall of Fire,PS,1995.0,Strategy,Tecmo Koei,0.05,0.03,0.04,0.01,0.13
1625,Castlevania,NES,1986.0,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
7360,BloodRayne,XB,2002.0,Shooter,Universal Interactive,0.16,0.05,0.0,0.01,0.21
10055,Taiko Drum Master: Tokumori!,WiiU,2014.0,Misc,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
3303,Cabela's Monster Buck Hunter,Wii,2010.0,Sports,Activision,0.58,0.0,0.0,0.03,0.61
11189,Rollcage Stage II,PS,2000.0,Racing,Sony Computer Entertainment,0.05,0.03,0.0,0.01,0.09
14633,Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006.0,Strategy,Broccoli,0.0,0.0,0.03,0.0,0.03
2511,Star Wars The Clone Wars: Republic Heroes,Wii,2009.0,Action,LucasArts,0.44,0.3,0.0,0.08,0.82
7956,Grand Slam Tennis 2,X360,2012.0,Sports,Electronic Arts,0.1,0.07,0.0,0.02,0.19
7385,NOëL: NOT DiGITAL,PS,1996.0,Adventure,Pioneer LDC,0.0,0.0,0.2,0.01,0.21
4299,Hyperdimension Neptunia,PS3,2010.0,Role-Playing,Tecmo Koei,0.22,0.11,0.07,0.05,0.46
1459,Lost Planet: Extreme Condition,X360,2006.0,Shooter,Capcom,1.09,0.04,0.1,0.11,1.34
4938,Dawn of Discovery,PC,2009.0,Simulation,Ubisoft,0.0,0.32,0.0,0.07,0.39
3088,Um Jammer Lammy,PS,1998.0,Misc,Sony Computer Entertainment,0.12,0.08,0.41,0.04,0.66
11566,Madden NFL 17,X360,2016.0,Sports,Electronic Arts,0.06,0.01,0.0,0.01,0.08
13445,Wayne Gretzky's 3D Hockey '98,PS,1997.0,Sports,GT Interactive,0.03,0.02,0.0,0.0,0.05
12584,Centipede: Infestation,Wii,2011.0,Shooter,Atari,0.06,0.0,0.0,0.0,0.06
14943,The Settlers: Rise of an Empire,PC,2007.0,Strategy,Ubisoft,0.01,0.01,0.0,0.0,0.02
238,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,3.19,0.92,0.01,0.42,4.53
956,The Sims: Hot Date,PC,2001.0,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82
317,Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84
8975,Summon Night 5,PSP,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15
